anio,zone,is_zone_subset,indicador,valor,unidad,unidad_original,dimension,agregacion
2014,Zona Norte,False,valor_vivienda_pib,12.027233740075,%,% del PIB,tasa,promedio
2014,Zona Sur,False,metros_construidos,72650669.5,m2,millones de metros cuadrados,superficie,total
2014,Zona Sur,False,metros_terreno,439349460.23499,m2,millones de metros cuadrados,superficie,total
2014,Zona Sur,False,numero_propiedades,1050789.0,unidades,propiedades,conteo,total
2014,Zona Sur,False,valor_vivienda,28983757426145.0,pesos,miles de millones de pesos,dinero,total
2014,Zona Sur,False,valor_vivienda_pib,19.590067392523,%,% del PIB,tasa,promedio
2015,Nacional,False,metros_construidos,339436237.0,m2,millones de metros cuadrados,superficie,total
2015,Nacional,False,metros_terreno,1519534981.3531,m2,millones de metros cuadrados,superficie,total
2015,Nacional,False,numero_propiedades,4784921.0,unidades,propiedades,conteo,total
2015,Nacional,False,valor_construccion,124027316271650.0,pesos,miles de millones de pesos,dinero,total
2015,Nacional,False,valor_terreno,87542965940915.0,pesos,miles de millones de pesos,dinero,total
2015,Nacional,False,valor_vivienda,211570282212560.0,pesos,miles de millones de pesos,dinero,total
2015,Nacional,False,valor_vivienda_pib,133.379403862,%,% del PIB,tasa,promedio
2015,Nacional -- casas,True,metros_construidos,283524294.0,m2,millones de metros cuadrados,superficie,total
2015,Nacional -- casas,True,metros_terreno,1480767414.1683998,m2,millones de metros cuadrados,superficie,total
2015,Nacional -- casas,True,numero_propiedades,3884329.0,unidades,propiedades,conteo,total
2015,Nacional -- casas,True,valor_construccion,79967790875010.0,pesos,miles de millones de pesos,dinero,total
2015,Nacional -- casas,True,valor_terreno,79085760386762.0,pesos,miles de millones de pesos,dinero,total
2015,Nacional -- casas,True,valor_vivienda,159053551261770.0,pesos,miles de millones de pesos,dinero,total
2015,Nacional -- casas,True,valor_vivienda_pib,100.27149194855,%,% del PIB,tasa,promedio
2015,Nacional -- departamentos,True,metros_construidos,55911943.0,m2,millones de metros cuadrados,superficie,total
2015,Nacional -- departamentos,True,metros_terreno,38767567.184655,m2,millones de metros cuadrados,superficie,total
2015,Nacional -- departamentos,True,numero_propiedades,900592.0,unidades,propiedades,conteo,total
2015,Nacional -- departamentos,True,valor_construccion,44059525396641.0,pesos,miles de millones de pesos,dinero,total
2015,Nacional -- departamentos,True,valor_terreno,8457205554152.601,pesos,miles de millones de pesos,dinero,total
2015,Nacional -- departamentos,True,valor_vivienda,52516730950794.0,pesos,miles de millones de pesos,dinero,total
2015,Nacional -- departamentos,True,valor_vivienda_pib,33.107911913454,%,% del PIB,tasa,promedio
2015,Región Metropolitana,False,metros_construidos,144893979.0,m2,millones de metros cuadrados,superficie,total
2015,Región Metropolitana,False,metros_terreno,439422570.01436,m2,millones de metros cuadrados,superficie,total
2015,Región Metropolitana,False,numero_propiedades,1976172.0,unidades,propiedades,conteo,total
2015,Región Metropolitana,False,valor_vivienda,115435465532650.0,pesos,miles de millones de pesos,dinero,total
2015,Región Metropolitana,False,valor_vivienda_pib,72.773517226818,%,% del PIB,tasa,promedio
2015,Zona Centro,False,metros_construidos,93641289.5,m2,millones de metros cuadrados,superficie,total
2015,Zona Centro,False,metros_terreno,551931975.1985501,m2,millones de metros cuadrados,superficie,total
2015,Zona Centro,False,numero_propiedades,1350656.0,unidades,propiedades,conteo,total
2015,Zona Centro,False,valor_vivienda,41570403080886.0,pesos,miles de millones de pesos,dinero,total
2015,Zona Centro,False,valor_vivienda_pib,26.207062368339,%,% del PIB,tasa,promedio
2015,Zona Norte,False,metros_construidos,25711153.0,m2,millones de metros cuadrados,superficie,total
2015,Zona Norte,False,metros_terreno,70967666.308277,m2,millones de metros cuadrados,superficie,total
2015,Zona Norte,False,numero_propiedades,373897.0,unidades,propiedades,conteo,total
2015,Zona Norte,False,valor_vivienda,20068169015761.0,pesos,miles de millones de pesos,dinero,total
2015,Zona Norte,False,valor_vivienda_pib,12.651495247498,%,% del PIB,tasa,promedio
2015,Zona Sur,False,metros_construidos,75189815.5,m2,millones de metros cuadrados,superficie,total
2015,Zona Sur,False,metros_terreno,457212769.83193004,m2,millones de metros cuadrados,superficie,total
2015,Zona Sur,False,numero_propiedades,1084196.0,unidades,propiedades,conteo,total
2015,Zona Sur,False,valor_vivienda,34496244583264.0,pesos,miles de millones de pesos,dinero,total
2015,Zona Sur,False,valor_vivienda_pib,21.747329019352,%,% del PIB,tasa,promedio
2016,Nacional,False,metros_construidos,349475157.5,m2,millones de metros cuadrados,superficie,total
2016,Nacional,False,metros_terreno,1567065401.371,m2,millones de metros cuadrados,superficie,total
2016,Nacional,False,numero_propiedades,4919688.0,unidades,propiedades,conteo,total
2016,Nacional,False,valor_construccion,138270439040909.98,pesos,miles de millones de pesos,dinero,total
2016,Nacional,False,valor_terreno,93237186901760.0,pesos,miles de millones de pesos,dinero,total
2016,Nacional,False,valor_vivienda,231507625942670.0,pesos,miles de millones de pesos,dinero,total
2016,Nacional,False,valor_vivienda_pib,137.17776437747,%,% del PIB,tasa,promedio
2016,Nacional -- casas,True,metros_construidos,290373979.5,m2,millones de metros cuadrados,superficie,total
2016,Nacional -- casas,True,metros_terreno,1526067179.4061,m2,millones de metros cuadrados,superficie,total
2016,Nacional -- casas,True,numero_propiedades,3960584.0,unidades,propiedades,conteo,total
2016,Nacional -- casas,True,valor_construccion,87901463214720.0,pesos,miles de millones de pesos,dinero,total
2016,Nacional -- casas,True,valor_terreno,84334178225544.0,pesos,miles de millones de pesos,dinero,total
2016,Nacional -- casas,True,valor_vivienda,172235641440260.0,pesos,miles de millones de pesos,dinero,total
2016,Nacional -- casas,True,valor_vivienda_pib,102.05668233471,%,% del PIB,tasa,promedio
2016,Nacional -- departamentos,True,metros_construidos,59101178.0,m2,millones de metros cuadrados,superficie,total
2016,Nacional -- departamentos,True,metros_terreno,40998221.964944,m2,millones de metros cuadrados,superficie,total
2016,Nacional -- departamentos,True,numero_propiedades,959104.0,unidades,propiedades,conteo,total
2016,Nacional -- departamentos,True,valor_construccion,50368975826189.0,pesos,miles de millones de pesos,dinero,total
2016,Nacional -- departamentos,True,valor_terreno,8903008676216.102,pesos,miles de millones de pesos,dinero,total
2016,Nacional -- departamentos,True,valor_vivienda,59271984502405.0,pesos,miles de millones de pesos,dinero,total
2016,Nacional -- departamentos,True,valor_vivienda_pib,35.121082042756,%,% del PIB,tasa,promedio
2016,Región Metropolitana,False,metros_construidos,148717085.0,m2,millones de metros cuadrados,superficie,total
2016,Región Metropolitana,False,metros_terreno,444802766.0152,m2,millones de metros cuadrados,superficie,total
2016,Región Metropolitana,False,numero_propiedades,2029709.0,unidades,propiedades,conteo,total
2016,Región Metropolitana,False,valor_vivienda,128842251884820.0,pesos,miles de millones de pesos,dinero,total
2016,Región Metropolitana,False,valor_vivienda_pib,76.344319108074,%,% del PIB,tasa,promedio
2016,Zona Centro,False,metros_construidos,96730499.0,m2,millones de metros cuadrados,superficie,total
2016,Zona Centro,False,metros_terreno,573534135.56016,m2,millones de metros cuadrados,superficie,total
2016,Zona Centro,False,numero_propiedades,1392567.0,unidades,propiedades,conteo,total
2016,Zona Centro,False,valor_vivienda,44979557957331.0,pesos,miles de millones de pesos,dinero,total
2016,Zona Centro,False,valor_vivienda_pib,26.652233066403,%,% del PIB,tasa,promedio
2016,Zona Norte,False,metros_construidos,26339507.5,m2,millones de metros cuadrados,superficie,total
2016,Zona Norte,False,metros_terreno,71966923.088734,m2,millones de metros cuadrados,superficie,total
2016,Zona Norte,False,numero_propiedades,382522.0,unidades,propiedades,conteo,total
2016,Zona Norte,False,valor_vivienda,21238699216147.0,pesos,miles de millones de pesos,dinero,total
2016,Zona Norte,False,valor_vivienda_pib,12.584800456975,%,% del PIB,tasa,promedio
2016,Zona Sur,False,metros_construidos,77688066.0,m2,millones de metros cuadrados,superficie,total
2016,Zona Sur,False,metros_terreno,476761576.70695,m2,millones de metros cuadrados,superficie,total
2016,Zona Sur,False,numero_propiedades,1114890.0,unidades,propiedades,conteo,total
2016,Zona Sur,False,valor_vivienda,36447116884363.0,pesos,miles de millones de pesos,dinero,total
2016,Zona Sur,False,valor_vivienda_pib,21.596411746019,%,% del PIB,tasa,promedio
2017,Nacional,False,metros_construidos,358314624.5,m2,millones de metros cuadrados,superficie,total
2017,Nacional,False,metros_terreno,1612054692.3223999,m2,millones de metros cuadrados,superficie,total
2017,Nacional,False,numero_propiedades,5038275.0,unidades,propiedades,conteo,total
2017,Nacional,False,valor_construccion,153351919884370.0,pesos,miles de millones de pesos,dinero,total
2017,Nacional,False,valor_terreno,109303777100670.0,pesos,miles de millones de pesos,dinero,total
2017,Nacional,False,valor_vivienda,262655696985050.0,pesos,miles de millones de pesos,dinero,total
2017,Nacional,False,valor_vivienda_pib,146.47733243694,%,% del PIB,tasa,promedio
2017,Nacional -- casas,True,metros_construidos,296256139.5,m2,millones de metros cuadrados,superficie,total
2017,Nacional -- casas,True,metros_terreno,1569110671.6483,m2,millones de metros cuadrados,superficie,total
2017,Nacional -- casas,True,numero_propiedades,4026999.0,unidades,propiedades,conteo,total
2017,Nacional -- casas,True,valor_construccion,93668638268995.0,pesos,miles de millones de pesos,dinero,total
2017,Nacional -- casas,True,valor_terreno,97430000858793.0,pesos,miles de millones de pesos,dinero,total
2017,Nacional -- casas,True,valor_vivienda,191098639127780.0,pesos,miles de millones de pesos,dinero,total
2017,Nacional -- casas,True,valor_vivienda_pib,106.57152771889,%,% del PIB,tasa,promedio
2017,Nacional -- departamentos,True,metros_construidos,62058485.0,m2,millones de metros cuadrados,superficie,total
2017,Nacional -- departamentos,True,metros_terreno,42944020.674081996,m2,millones de metros cuadrados,superficie,total
2017,Nacional -- departamentos,True,numero_propiedades,1011276.0,unidades,propiedades,conteo,total
2017,Nacional -- departamentos,True,valor_construccion,59683281615381.0,pesos,miles de millones de pesos,dinero,total
2017,Nacional -- departamentos,True,valor_terreno,11873776241879.0,pesos,miles de millones de pesos,dinero,total
2017,Nacional -- departamentos,True,valor_vivienda,71557057857261.0,pesos,miles de millones de pesos,dinero,total
2017,Nacional -- departamentos,True,valor_vivienda_pib,39.905804718046,%,% del PIB,tasa,promedio
2017,Región Metropolitana,False,metros_construidos,151978675.0,m2,millones de metros cuadrados,superficie,total
2017,Región Metropolitana,False,metros_terreno,452701215.39057,m2,millones de metros cuadrados,superficie,total
2017,Región Metropolitana,False,numero_propiedades,2076693.0,unidades,propiedades,conteo,total
2017,Región Metropolitana,False,valor_vivienda,146914610955940.0,pesos,miles de millones de pesos,dinero,total
2017,Región Metropolitana,False,valor_vivienda_pib,81.931062435942,%,% del PIB,tasa,promedio
2017,Zona Centro,False,metros_construidos,99557767.5,m2,millones de metros cuadrados,superficie,total
2017,Zona Centro,False,metros_terreno,592328578.4790001,m2,millones de metros cuadrados,superficie,total
2017,Zona Centro,False,numero_propiedades,1428525.0,unidades,propiedades,conteo,total
2017,Zona Centro,False,valor_vivienda,51821116541007.0,pesos,miles de millones de pesos,dinero,total
2017,Zona Centro,False,valor_vivienda_pib,28.89950228364,%,% del PIB,tasa,promedio
2017,Zona Norte,False,metros_construidos,26789065.0,m2,millones de metros cuadrados,superficie,total
2017,Zona Norte,False,metros_terreno,72657365.21928701,m2,millones de metros cuadrados,superficie,total
2017,Zona Norte,False,numero_propiedades,388726.0,unidades,propiedades,conteo,total
2017,Zona Norte,False,valor_vivienda,23268283927687.0,pesos,miles de millones de pesos,dinero,total
2017,Zona Norte,False,valor_vivienda_pib,12.976212582615,%,% del PIB,tasa,promedio
2017,Zona Sur,False,metros_construidos,79989117.0,m2,millones de metros cuadrados,superficie,total
2017,Zona Sur,False,metros_terreno,494367533.2336,m2,millones de metros cuadrados,superficie,total
2017,Zona Sur,False,numero_propiedades,1144331.0,unidades,propiedades,conteo,total
2017,Zona Sur,False,valor_vivienda,40651685560410.0,pesos,miles de millones de pesos,dinero,total
2017,Zona Sur,False,valor_vivienda_pib,22.670555134744,%,% del PIB,tasa,promedio
2018,Nacional,False,metros_construidos,367745402.5,m2,millones de metros cuadrados,superficie,total
2018,Nacional,False,metros_terreno,1664164356.2851,m2,millones de metros cuadrados,superficie,total
2018,Nacional,False,numero_propiedades,5172478.0,unidades,propiedades,conteo,total
2018,Nacional,False,valor_construccion,167930734266200.0,pesos,miles de millones de pesos,dinero,total
2018,Nacional,False,valor_terreno,125319646495250.0,pesos,miles de millones de pesos,dinero,total
2018,Nacional,False,valor_vivienda,293250380761460.0,pesos,miles de millones de pesos,dinero,total
2018,Nacional,False,valor_vivienda_pib,154.80274817984,%,% del PIB,tasa,promedio
2018,Nacional -- casas,True,metros_construidos,302255775.5,m2,millones de metros cuadrados,superficie,total
2018,Nacional -- casas,True,metros_terreno,1619457250.2998998,m2,millones de metros cuadrados,superficie,total
2018,Nacional -- casas,True,numero_propiedades,4097578.0,unidades,propiedades,conteo,total
2018,Nacional -- casas,True,valor_construccion,99435813323270.0,pesos,miles de millones de pesos,dinero,total
2018,Nacional -- casas,True,valor_terreno,110525823492040.0,pesos,miles de millones de pesos,dinero,total
2018,Nacional -- casas,True,valor_vivienda,209961636815310.0,pesos,miles de millones de pesos,dinero,total
2018,Nacional -- casas,True,valor_vivienda_pib,110.83579263205,%,% del PIB,tasa,promedio
2018,Nacional -- departamentos,True,metros_construidos,65489627.0,m2,millones de metros cuadrados,superficie,total
2018,Nacional -- departamentos,True,metros_terreno,44707105.985237,m2,millones de metros cuadrados,superficie,total
2018,Nacional -- departamentos,True,numero_propiedades,1074900.0,unidades,propiedades,conteo,total
2018,Nacional -- departamentos,True,valor_construccion,68494920942935.0,pesos,miles de millones de pesos,dinero,total
2018,Nacional -- departamentos,True,valor_terreno,14793823003214.0,pesos,miles de millones de pesos,dinero,total
2018,Nacional -- departamentos,True,valor_vivienda,83288743946150.0,pesos,miles de millones de pesos,dinero,total
2018,Nacional -- departamentos,True,valor_vivienda_pib,43.966955547788,%,% del PIB,tasa,promedio
2018,Región Metropolitana,False,metros_construidos,155193540.0,m2,millones de metros cuadrados,superficie,total
2018,Región Metropolitana,False,metros_terreno,462424452.32,m2,millones de metros cuadrados,superficie,total
2018,Región Metropolitana,False,numero_propiedades,2128259.0,unidades,propiedades,conteo,total
2018,Región Metropolitana,False,valor_vivienda,164432735055960.0,pesos,miles de millones de pesos,dinero,total
2018,Región Metropolitana,False,valor_vivienda_pib,86.80172626305,%,% del PIB,tasa,promedio
2018,Zona Centro,False,metros_construidos,102582927.5,m2,millones de metros cuadrados,superficie,total
2018,Zona Centro,False,metros_terreno,612879066.908,m2,millones de metros cuadrados,superficie,total
2018,Zona Centro,False,numero_propiedades,1470657.0,unidades,propiedades,conteo,total
2018,Zona Centro,False,valor_vivienda,58663484629498.0,pesos,miles de millones de pesos,dinero,total
2018,Zona Centro,False,valor_vivienda_pib,30.967627782346,%,% del PIB,tasa,promedio
2018,Zona Norte,False,metros_construidos,27296716.5,m2,millones de metros cuadrados,superficie,total
2018,Zona Norte,False,metros_terreno,73760739.70947699,m2,millones de metros cuadrados,superficie,total
2018,Zona Norte,False,numero_propiedades,394249.0,unidades,propiedades,conteo,total
2018,Zona Norte,False,valor_vivienda,25297868639228.0,pesos,miles de millones de pesos,dinero,total
2018,Zona Norte,False,valor_vivienda_pib,13.354388759108,%,% del PIB,tasa,promedio
2018,Zona Sur,False,metros_construidos,82672218.5,m2,millones de metros cuadrados,superficie,total
2018,Zona Sur,False,metros_terreno,515100097.34769994,m2,millones de metros cuadrados,superficie,total
2018,Zona Sur,False,numero_propiedades,1179313.0,unidades,propiedades,conteo,total
2018,Zona Sur,False,valor_vivienda,44856292436766.0,pesos,miles de millones de pesos,dinero,total
2018,Zona Sur,False,valor_vivienda_pib,23.679005375335,%,% del PIB,tasa,promedio
2019,Nacional,False,metros_construidos,377794279.0,m2,millones de metros cuadrados,superficie,total
2019,Nacional,False,metros_terreno,1735022903.0238,m2,millones de metros cuadrados,superficie,total
2019,Nacional,False,numero_propiedades,5286015.0,unidades,propiedades,conteo,total
2019,Nacional,False,valor_construccion,185813266754640.0,pesos,miles de millones de pesos,dinero,total
2019,Nacional,False,valor_terreno,136667058319380.02,pesos,miles de millones de pesos,dinero,total
2019,Nacional,False,valor_vivienda,322480325074030.0,pesos,miles de millones de pesos,dinero,total
2019,Nacional,False,valor_vivienda_pib,164.92481170423,%,% del PIB,tasa,promedio
2019,Nacional -- casas,True,metros_construidos,310077957.99999005,m2,millones de metros cuadrados,superficie,total
2019,Nacional -- casas,True,metros_terreno,1688541910.5304,m2,millones de metros cuadrados,superficie,total
2019,Nacional -- casas,True,numero_propiedades,4169528.0,unidades,propiedades,conteo,total
2019,Nacional -- casas,True,valor_construccion,109881326941810.0,pesos,miles de millones de pesos,dinero,total
