anio,region_id,region_display,indicador,medida,unidad,valor,unidad_original,dimension,agregacion
2018,06,O'Higgins,cuentas_corrientes,stock,unidades,108497.25,número de cuentas de personas naturales,conteo,total
2019,06,O'Higgins,cuentas_corrientes,stock,unidades,116754.16666666667,número de cuentas de personas naturales,conteo,total
2020,06,O'Higgins,cuentas_corrientes,stock,unidades,122305.08333333333,número de cuentas de personas naturales,conteo,total
2021,06,O'Higgins,cuentas_corrientes,stock,unidades,126766.25,número de cuentas de personas naturales,conteo,total
2022,06,O'Higgins,cuentas_corrientes,stock,unidades,128127.83333333333,número de cuentas de personas naturales,conteo,total
2023,06,O'Higgins,cuentas_corrientes,stock,unidades,135671.91666666666,número de cuentas de personas naturales,conteo,total
2024,06,O'Higgins,cuentas_corrientes,stock,unidades,147445.91666666666,número de cuentas de personas naturales,conteo,total
2025,06,O'Higgins,cuentas_corrientes,stock,unidades,157341.91666666666,número de cuentas de personas naturales,conteo,total
2009,07,Maule,cuentas_corrientes,stock,unidades,66042.75,número de cuentas de personas naturales,conteo,total
2010,07,Maule,cuentas_corrientes,stock,unidades,67305.0,número de cuentas de personas naturales,conteo,total
2011,07,Maule,cuentas_corrientes,stock,unidades,71878.5,número de cuentas de personas naturales,conteo,total
2012,07,Maule,cuentas_corrientes,stock,unidades,78339.58333333333,número de cuentas de personas naturales,conteo,total
2013,07,Maule,cuentas_corrientes,stock,unidades,85277.75,número de cuentas de personas naturales,conteo,total
2014,07,Maule,cuentas_corrientes,stock,unidades,92538.25,número de cuentas de personas naturales,conteo,total
2015,07,Maule,cuentas_corrientes,stock,unidades,100548.5,número de cuentas de personas naturales,conteo,total
2016,07,Maule,cuentas_corrientes,stock,unidades,108770.41666666667,número de cuentas de personas naturales,conteo,total
2017,07,Maule,cuentas_corrientes,stock,unidades,116797.58333333333,número de cuentas de personas naturales,conteo,total
2018,07,Maule,cuentas_corrientes,stock,unidades,125676.75,número de cuentas de personas naturales,conteo,total
2019,07,Maule,cuentas_corrientes,stock,unidades,135991.25,número de cuentas de personas naturales,conteo,total
2020,07,Maule,cuentas_corrientes,stock,unidades,142415.91666666666,número de cuentas de personas naturales,conteo,total
2021,07,Maule,cuentas_corrientes,stock,unidades,149078.25,número de cuentas de personas naturales,conteo,total
2022,07,Maule,cuentas_corrientes,stock,unidades,149739.08333333334,número de cuentas de personas naturales,conteo,total
2023,07,Maule,cuentas_corrientes,stock,unidades,162955.41666666666,número de cuentas de personas naturales,conteo,total
2024,07,Maule,cuentas_corrientes,stock,unidades,184110.16666666666,número de cuentas de personas naturales,conteo,total
2025,07,Maule,cuentas_corrientes,stock,unidades,199448.08333333334,número de cuentas de personas naturales,conteo,total
2009,08,Biobío,cuentas_corrientes,stock,unidades,159974.08333333334,número de cuentas de personas naturales,conteo,total
2010,08,Biobío,cuentas_corrientes,stock,unidades,165519.58333333334,número de cuentas de personas naturales,conteo,total
